; charset=UTF-8
@@	12000	Cuneiform	123FF
@		Signs
120EB	CUNEIFORM SIGN GA2 TIMES UD
120EC	CUNEIFORM SIGN GA2 TIMES UD PLUS DU
120ED	CUNEIFORM SIGN GA2 OVER GA2
120EE	CUNEIFORM SIGN GABA
120EF	CUNEIFORM SIGN GABA CROSSING GABA
120F0	CUNEIFORM SIGN GAD
120F1	CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR
120F2	CUNEIFORM SIGN GAL
120F3	CUNEIFORM SIGN GAL GAD OVER GAD GAR OVER GAR
120F4	CUNEIFORM SIGN GALAM
120F5	CUNEIFORM SIGN GAM
120F6	CUNEIFORM SIGN GAN
120F7	CUNEIFORM SIGN GAN2
120F8	CUNEIFORM SIGN GAN2 TENU
120F9	CUNEIFORM SIGN GAN2 OVER GAN2
120FA	CUNEIFORM SIGN GAN2 CROSSING GAN2
120FB	CUNEIFORM SIGN GAR
120FC	CUNEIFORM SIGN GAR3
120FD	CUNEIFORM SIGN GASHAN
120FE	CUNEIFORM SIGN GESHTIN
120FF	CUNEIFORM SIGN GESHTIN TIMES KUR
12100	CUNEIFORM SIGN GI
12101	CUNEIFORM SIGN GI TIMES E
12102	CUNEIFORM SIGN GI TIMES U
12103	CUNEIFORM SIGN GI CROSSING GI
12104	CUNEIFORM SIGN GI4
12105	CUNEIFORM SIGN GI4 OVER GI4
12106	CUNEIFORM SIGN GI4 CROSSING GI4
12107	CUNEIFORM SIGN GIDIM
12108	CUNEIFORM SIGN GIR2
12109	CUNEIFORM SIGN GIR2 GUNU
1210A	CUNEIFORM SIGN GIR3
1210B	CUNEIFORM SIGN GIR3 TIMES A PLUS IGI
1210C	CUNEIFORM SIGN GIR3 TIMES GAN2 TENU
1210D	CUNEIFORM SIGN GIR3 TIMES IGI
1210E	CUNEIFORM SIGN GIR3 TIMES LU PLUS IGI
1210F	CUNEIFORM SIGN GIR3 TIMES PA
12110	CUNEIFORM SIGN GISAL
12111	CUNEIFORM SIGN GISH
12112	CUNEIFORM SIGN GISH CROSSING GISH
12113	CUNEIFORM SIGN GISH TIMES BAD
12114	CUNEIFORM SIGN GISH TIMES TAK4
12115	CUNEIFORM SIGN GISH TENU
12116	CUNEIFORM SIGN GU
12117	CUNEIFORM SIGN GU CROSSING GU
12118	CUNEIFORM SIGN GU2
12119	CUNEIFORM SIGN GU2 TIMES KAK
1211A	CUNEIFORM SIGN GU2 TIMES KAK TIMES IGI GUNU
1211B	CUNEIFORM SIGN GU2 TIMES NUN
1211C	CUNEIFORM SIGN GU2 TIMES SAL PLUS TUG2
1211D	CUNEIFORM SIGN GU2 GUNU
1211E	CUNEIFORM SIGN GUD
1211F	CUNEIFORM SIGN GUD TIMES A PLUS KUR
12120	CUNEIFORM SIGN GUD TIMES KUR
12121	CUNEIFORM SIGN GUD OVER GUD LUGAL
12122	CUNEIFORM SIGN GUL
12123	CUNEIFORM SIGN GUM
12124	CUNEIFORM SIGN GUM TIMES SHE
12125	CUNEIFORM SIGN GUR
12126	CUNEIFORM SIGN GUR7
12127	CUNEIFORM SIGN GURUN
12128	CUNEIFORM SIGN GURUSH
12129	CUNEIFORM SIGN HA
1212A	CUNEIFORM SIGN HA TENU
1212B	CUNEIFORM SIGN HA GUNU
